City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
53,roald,62.5833,6.1333,4.31,69,20,5.66,NO,1670086100
54,sorong,-0.8833,131.25,26.36,83,100,2.67,ID,1670086100
55,timra,62.487,17.3257,-7.18,86,100,5.66,SE,1670086100
56,los llanos de aridane,28.6585,-17.9182,19.51,56,75,3.13,ES,1670086101
57,payson,40.0444,-111.7321,2.24,62,100,1.54,US,1670085981
58,ilulissat,69.2167,-51.1,2.01,48,40,10.8,GL,1670086102
59,mataura,-46.1927,168.8643,10.27,82,100,2.27,NZ,1670086102
60,phan thiet,10.9333,108.1,24.65,84,100,3.09,VN,1670086102
61,lunavada,23.1333,73.6167,20.47,38,92,1.66,IN,1670086103
62,spoleto,42.7448,12.7374,8.79,87,100,1.67,IT,1670086103
63,hasaki,35.7333,140.8333,3.22,69,100,5.27,JP,1670086104
64,villa carlos paz,-31.4241,-64.4978,34.48,18,0,2.68,AR,1670086104
65,lebu,-37.6167,-73.65,17.58,73,30,5.09,CL,1670086072
66,dikson,73.5069,80.5464,-6.85,94,100,5.57,RU,1670086105
67,ushuaia,-54.8,-68.3,10.81,37,75,8.75,AR,1670086105
68,faanui,-16.4833,-151.75,27.42,73,96,8.56,PF,1670086105
69,kjollefjord,70.9457,27.3465,-1.97,80,11,7.72,NO,1670086106
70,lanja,16.85,73.55,22.61,68,9,1.15,IN,1670086106
71,manokwari,-0.8667,134.0833,24.38,92,100,2.36,ID,1670086106
72,narsaq,60.9167,-46.05,-0.88,88,93,1.65,GL,1670086107
73,birin,26.8865,88.0718,9.76,75,28,2.12,NP,1670086107
74,obidos,-1.9175,-55.5181,32.34,50,82,2.36,BR,1670086107
75,lisakovsk,52.5369,62.4936,-20.22,89,5,3.68,KZ,1670086108
76,komsomolskiy,40.4272,71.7189,1.4,86,100,1.03,UZ,1670086108
77,mayumba,-3.432,10.6554,25.26,80,100,1.71,GA,1670086108
78,suffolk,40.8668,-72.7996,13.81,92,100,9.77,US,1670086109
79,ambon,-3.6954,128.1814,26.24,14,92,1.52,ID,1670086109
80,georgetown,5.4112,100.3354,26.8,94,20,0.0,MY,1670086111
81,darnah,32.767,22.6367,18.02,64,39,3.85,LY,1670086111
82,te anau,-45.4167,167.7167,7.59,91,100,2.38,NZ,1670086112
83,leningradskiy,69.3833,178.4167,-15.73,77,86,3.51,RU,1670086112
84,fort wellington,6.4,-57.6,24.73,91,100,3.03,GY,1670086112
85,shangrao,28.4532,117.9686,8.34,96,100,0.78,CN,1670086113
86,hualmay,-11.0964,-77.6139,22.19,72,15,3.95,PE,1670086113
87,inongo,-1.95,18.2667,23.35,92,86,2.04,CD,1670086113
88,usvyaty,55.7456,30.7533,-3.55,89,100,4.28,RU,1670086114
89,upernavik,72.7868,-56.1549,0.17,69,100,15.24,GL,1670086114
90,srednekolymsk,67.45,153.6833,-38.97,100,35,0.48,RU,1670086114
91,mar del plata,-38.0023,-57.5575,28.24,76,0,6.26,AR,1670086115
92,mitsamiouli,-11.3847,43.2844,29.16,70,40,4.12,KM,1670086115
93,shimoda,34.6667,138.95,13.51,59,100,9.23,JP,1670086115
94,puerto ayora,-0.7393,-90.3518,25.98,85,72,4.47,EC,1670086116
95,barsovo,61.1667,73.1667,-15.93,95,100,5.36,RU,1670086116
96,san juan pueblo,15.5833,-87.2333,28.42,70,44,2.72,HN,1670085943
97,hervey bay,-25.2986,152.8535,19.99,77,10,7.64,AU,1670086116
98,tahara,34.6667,137.2667,8.97,2,82,6.1,JP,1670086117
99,bengkulu,-3.8004,102.2655,23.66,90,99,1.81,ID,1670086117
100,new norfolk,-42.7826,147.0587,13.72,82,34,1.11,AU,1670086118
101,shaoguan,24.8,113.5833,12.25,86,99,1.59,CN,1670086118
102,yellowknife,62.456,-114.3525,-23.71,84,100,3.6,CA,1670085930
103,benidorm,38.5382,-0.131,14.35,72,55,2.98,ES,1670085825
104,neuquen,-38.9516,-68.0591,30.94,16,0,6.17,AR,1670086118
105,isangel,-19.55,169.2667,26.8,84,100,3.34,VU,1670086119
106,berlevag,70.8578,29.0864,-2.03,74,32,9.26,NO,1670086119
107,barrow,71.2906,-156.7887,-5.99,63,100,7.72,US,1670085919
108,arraial do cabo,-22.9661,-42.0278,25.98,88,75,9.26,BR,1670086120
109,andenes,69.3143,16.1194,-0.01,86,75,5.14,NO,1670086120
110,grand gaube,-20.0064,57.6608,25.22,69,20,1.79,MU,1670086121
111,tasiilaq,65.6145,-37.6368,0.09,94,100,12.5,GL,1670086121
112,fare,-16.7,-151.0167,26.98,74,97,8.58,PF,1670086121
113,ileza,61.0533,43.9002,-10.81,91,100,2.11,RU,1670086122
114,mulatupo,8.9492,-77.7652,28.39,69,39,2.55,PA,1670086122
115,longyearbyen,78.2186,15.6401,-0.09,93,75,9.26,SJ,1670086122
116,bathsheba,13.2167,-59.5167,30.34,66,20,7.2,BB,1670086123
117,saint-augustin,51.226,-58.6502,0.58,81,81,7.05,CA,1670086123
118,alghero,40.5589,8.3181,15.05,72,0,2.06,IT,1670086123
119,atar,20.5169,-13.0499,28.57,10,0,4.67,MR,1670086124
120,fortuna,40.5982,-124.1573,7.19,72,0,9.77,US,1670085851
121,tuatapere,-46.1333,167.6833,8.85,83,100,3.5,NZ,1670086124
122,guane,22.2025,-84.0875,29.6,54,16,6.26,CU,1670086125
123,saskylakh,71.9167,114.0833,-15.3,91,100,10.37,RU,1670086125
124,bonavista,48.6499,-53.1147,0.17,60,6,1.47,CA,1670086125
125,aklavik,68.2191,-135.0107,2.0,75,75,9.26,CA,1670086126
126,visnes,59.3556,5.2242,3.45,69,0,2.06,NO,1670086126
127,constitucion,-35.3333,-72.4167,20.92,63,66,7.34,CL,1670086106
128,kaitangata,-46.2817,169.8464,11.02,69,100,4.17,NZ,1670086127
129,magadan,59.5667,150.8,-19.71,91,100,3.23,RU,1670086127
130,brae,60.3964,-1.353,7.09,75,100,8.35,GB,1670086127
131,myatlevo,54.8969,35.6762,-6.16,92,100,3.45,RU,1670086128
132,lagoa,39.05,-27.9833,14.42,74,100,16.53,PT,1670086128
133,samarai,-10.6167,150.6667,25.83,83,100,3.27,PG,1670086128
134,anadyr,64.75,177.4833,-4.72,39,0,8.0,RU,1670086129
135,mogadishu,2.0371,45.3438,26.87,78,14,5.83,SO,1670086129
136,kijang,35.2442,129.2139,6.85,67,92,2.23,KR,1670085986
137,sitka,57.0531,-135.33,-2.06,74,20,1.54,US,1670086129
138,carnarvon,-24.8667,113.6333,21.08,80,0,8.44,AU,1670086130
139,nalut,30.3333,10.85,19.48,14,52,4.07,LY,1670086130
140,thompson,55.7435,-97.8558,-29.91,76,0,3.09,CA,1670086130
141,klaksvik,62.2266,-6.589,6.51,96,100,3.08,FO,1670086131
142,hithadhoo,-0.6,73.0833,28.27,71,100,6.32,MV,1670086131
143,prince rupert,54.3161,-130.3201,-2.17,69,0,7.72,CA,1670085910
144,yulara,-25.2406,130.9889,25.84,15,0,4.88,AU,1670086131
145,macau,22.2006,113.5461,19.89,82,40,5.66,MO,1670086132
146,vao,-22.6667,167.4833,24.88,90,100,3.84,NC,1670086132
147,weligama,5.9667,80.4167,24.7,88,91,1.32,LK,1670086133
148,nador,35.174,-2.9287,18.04,67,0,1.54,MA,1670086133
149,port hedland,-20.3167,118.5667,26.03,78,0,5.14,AU,1670086133
150,ornskoldsvik,63.2909,18.7153,-2.47,100,100,2.06,SE,1670086134
151,elizabeth city,36.2946,-76.2511,20.01,75,40,5.14,US,1670086047
152,ambikapur,23.1167,83.2,14.61,57,0,1.0,IN,1670086134
153,beringovskiy,63.05,179.3167,-3.91,95,100,12.46,RU,1670086134
154,cabo san lucas,22.8909,-109.9124,28.06,48,0,2.06,MX,1670085854
155,iraquara,-12.2486,-41.6194,25.84,65,100,4.32,BR,1670086135
156,san carlos de bariloche,-41.1456,-71.3082,16.86,34,20,14.4,AR,1670085933
157,cherskiy,68.75,161.3,-22.93,86,10,3.88,RU,1670086135
158,sao jose da coroa grande,-8.8978,-35.1478,27.74,70,37,6.14,BR,1670086136
159,zomba,-15.386,35.3188,23.87,50,56,2.04,MW,1670086136
160,khatanga,71.9667,102.5,-19.59,95,100,8.77,RU,1670086136
161,strezhevoy,60.7333,77.5889,-13.2,95,100,4.6,RU,1670086136
162,adrar,20.5022,-10.0711,26.27,16,1,1.34,MR,1670086137
163,dongfeng,42.6403,125.5118,-14.93,68,0,4.06,CN,1670086137
164,sur,22.5667,59.5289,24.16,64,0,1.86,OM,1670085883
165,alta floresta,-9.8756,-56.0861,25.8,76,100,1.65,BR,1670086138
166,asau,46.4333,26.4,-0.4,94,91,0.96,RO,1670086138
167,diego de almagro,-26.3667,-70.05,27.91,14,0,6.98,CL,1670086138
168,gigmoto,13.7796,124.39,26.42,88,38,3.75,PH,1670086139
169,tuktoyaktuk,69.4541,-133.0374,-1.0,100,100,19.03,CA,1670086139
170,ahuimanu,21.4447,-157.8378,23.44,90,100,3.6,US,1670086140
171,bethel,41.3712,-73.414,13.05,87,100,4.63,US,1670086140
172,pingliang,35.5392,106.6861,-2.67,42,100,0.94,CN,1670086140
173,nagda,23.45,75.4167,18.71,48,87,2.9,IN,1670086141
174,rio gallegos,-51.6226,-69.2181,14.03,23,75,12.86,AR,1670085853
175,port elizabeth,-33.918,25.5701,19.16,79,75,4.63,ZA,1670086141
176,arlit,18.7369,7.3853,26.94,12,72,1.83,NE,1670086142
177,kruisfontein,-34.0033,24.7314,17.71,71,100,4.26,ZA,1670086142
178,rabaul,-4.1967,152.1721,26.27,76,100,1.93,PG,1670086142
